"","title","author","subject","abstract","meta"
"1","Environmental Insights: Democratizing Access to Ambient Air Pollution Data and Predictive Analytics with an Open-Source Python Package","Liam J Berrisford, Ronaldo Menezes","Physics and Society (physics.soc-ph)","Ambient air pollution is a pervasive issue with wide-ranging effects on human health, ecosystem vitality, and economic structures. Utilizing data on ambient air pollution concentrations, researchers can perform comprehensive analyses to uncover the multifaceted impacts of air pollution across society. To this end, we introduce Environmental Insights, an open-source Python package designed to democratize access to air pollution concentration data. This tool enables users to easily retrieve historical air pollution data and employ a Machine Learning model for forecasting potential future conditions. Moreover, Environmental Insights includes a suite of tools aimed at facilitating the dissemination of analytical findings and enhancing user engagement through dynamic visualizations. This comprehensive approach ensures that the package caters to the diverse needs of individuals looking to explore and understand air pollution trends and their implications.","Wed, 6 Mar 2024 12:34:50 UTC (32,449 KB)"
"2","Bayesian Generalized Distributed Lag Regression with Variable Selection","Daniel Dempsey, Jason Wyse","Methodology (stat.ME)","Distributed Lag Models (DLMs) and similar regression approaches such as MIDAS have been used for many decades in econometrics, and more recently in the study of air quality and its impact on human health. They are useful not only for quantifying accumulating and delayed effects, but also for estimating the lags that are most susceptible to these effects. Among other things, they have been used to infer the period of exposure to poor air quality which might negatively impact child birth weight. The increased attention DLMs have received in recent years is reflective of their potential to help us understand a great many issues, particularly in the investigation of how the environment affects human health. In this paper we describe how to expand the utility of these models for Bayesian inference by leveraging latent-variables. In particular we explain how to perform binary regression to better handle imbalanced data, how to incorporate negative binomial regression, and how to estimate the probability of predictor inclusion. Extra parameters introduced through the DLM framework may require calibration for the MCMC algorithm, but this will not be the case in DLM-based analyses often seen in pollution exposure literature. In these cases, the parameters are inferred through a fully automatic Gibbs sampling procedure.","Wed, 6 Mar 2024 12:10:48 UTC (1,304 KB)"
"3","Learning Zero-Shot Material States Segmentation, by Implanting Natural Image Patterns in Synthetic Data","Sagi Eppel, Jolina Li, Manuel Drehwald, Alan Aspuru-Guzik","Computer Vision and Pattern Recognition (cs.CV)","Visual understanding and segmentation of materials and their states is fundamental for understanding the physical world. The infinite textures, shapes and often blurry boundaries formed by material make this task particularly hard to generalize. Whether it's identifying wet regions of a surface, minerals in rocks, infected regions in plants, or pollution in water, each material state has its own unique form. For neural nets to learn class-agnostic materials segmentation it is necessary to first collect and annotate data that capture this complexity. Collecting real-world images and manually annotating is limited both by the cost and limited precision of manual labor. In contrast, synthetic data is highly accurate and almost cost-free but fails to replicate the vast diversity of the material world. In this work, we suggest a method to bridge this crucial gap, by implanting patterns extracted from real-world images, in synthetic data. Hence, patterns automatically collected from natural images are used to map materials into synthetic scenes. This unsupervised approach allows the generated data to capture the vast complexity of the real world while maintaining the precision and scale of synthetic data. We also present the first general benchmark for class-agnostic material state segmentation. The benchmark images contain a wide range of real-world images of material states, from cooking, food, rocks, construction, plants, and liquids each in various states (wet/dry/stained/cooked/burned/worned/rusted/sediment/foam...). The annotation includes both partial similarity between regions with similar but not identical materials, and hard segmentation of only points of the exact same material state. We show that net trains on MatSeg significantly outperform existing state-of-the-art methods on this task.","Tue, 5 Mar 2024 20:21:49 UTC (5,119 KB)[v2] Thu, 7 Mar 2024 17:43:54 UTC (4,533 KB)"
"4","From Displacements to Distributions: A Machine-Learning Enabled Framework for Quantifying Uncertainties in Parameters of Computational Models","Taylor Roper, Harri Hakula, Troy Butler","Machine Learning (stat.ML)","This work presents novel extensions for combining two frameworks for quantifying both aleatoric (i.e., irreducible) and epistemic (i.e., reducible) sources of uncertainties in the modeling of engineered systems. The data-consistent (DC) framework poses an inverse problem and solution for quantifying aleatoric uncertainties in terms of pullback and push-forward measures for a given Quantity of Interest (QoI) map. Unfortunately, a pre-specified QoI map is not always available a priori to the collection of data associated with system outputs. The data themselves are often polluted with measurement errors (i.e., epistemic uncertainties), which complicates the process of specifying a useful QoI. The Learning Uncertain Quantities (LUQ) framework defines a formal three-step machine-learning enabled process for transforming noisy datasets into samples of a learned QoI map to enable DC-based inversion. We develop a robust filtering step in LUQ that can learn the most useful quantitative information present in spatio-temporal datasets. The learned QoI map transforms simulated and observed datasets into distributions to perform DC-based inversion. We also develop a DC-based inversion scheme that iterates over time as new spatial datasets are obtained and utilizes quantitative diagnostics to identify both the quality and impact of inversion at each iteration. Reproducing Kernel Hilbert Space theory is leveraged to mathematically analyze the learned QoI map and develop a quantitative sufficiency test for evaluating the filtered data. An illustrative example is utilized throughout while the final two examples involve the manufacturing of shells of revolution to demonstrate various aspects of the presented frameworks.","Mon, 4 Mar 2024 20:40:50 UTC (5,324 KB)"
"5","Double-mixing CP violation in $B$ decays","Wen-Jie Song, Yin-Fa Shen, Qin Qin","High Energy Physics - Phenomenology (hep-ph)","We study a long-overlooked CP violation observable, termed double-mixing CP violation, which arises from the interference between two neutral meson oscillating paths involved in a decay chain. The double-mixing CP violation is beneficial for the precise test of the Standard Model CKM mechanism, as it offers the potential to extract weak phases without pollution from strong dynamics. To provide a comprehensive understanding of the double-mixing CP violation, we perform phenomenological analyses on the cascade decays of the $B^0_d$ and $B^0_s$ mesons. Our results show that the double-mixing CP violation can be very significant in certain decay channels, such as $B^0_s \to \rho^0 K \to \rho^0(\pi^-\ell^+\nu_\ell)$. In addition, we employ the decay process $B^0_d \to D^0 K \to (K^-\pi^+)(\pi\ell\nu)$ to demonstrate that the involved strong and weak phases can be directly determined from the experimental data without any theoretical inputs.","Mon, 4 Mar 2024 10:05:47 UTC (13,518 KB)"
"6","Optimization of the Energy-Comfort Trade-Off of HVAC Systems in Electric City Buses Based on a Steady-State Model","Fabio Widmer, Stijn van Dooren, Christopher H. Onder","Systems and Control (eess.SY)","The electrification of public transport vehicles offers the potential to relieve city centers of pollutant and noise emissions. Furthermore, electric buses have lower life-cycle greenhouse gas (GHG) emissions than diesel buses, particularly when operated with sustainably produced electricity. However, the heating, ventilation, and air-conditioning (HVAC) system can consume a significant amount of energy, thus limiting the achievable driving range. In this paper, we address the HVAC system in an electric city bus by analyzing the trade-off between the energy consumption and the thermal comfort of the passengers. We do this by developing a dynamic thermal model for the bus cabin, which we simplify by considering it to be in steady state. We introduce a method that is able to quickly optimize the steady-state HVAC system inputs for a large number of samples representative of a year-round operation. A comparison between the results from the steady-state optimization approach and a dynamic simulation reveal small deviations in both the HVAC system power demand and achieved thermal comfort. Thus, the approximation of the system performance with a steady-state model is justified. We present two case studies to demonstrate the practical relevance of the approach. First, we show how the method can be used to compare different system designs based on a year-round performance evaluation. Second, we show how the method can be used to generate accurate setpoints for online controllers. In conclusion, this study shows that a steady-state analysis of the HVAC systems of an electric city bus is a valuable approach to evaluate and optimize its performance.","Fri, 1 Mar 2024 13:28:52 UTC (2,380 KB)"
"7","Prices and preferences in the electric vehicle market","Chung Yi See, Vasco Rato Santos, Lucas Woodley, Megan Yeo, Daniel Palmer, Shuheng Zhang, and Ashley Nunes","Econometrics (econ.EM)","Although electric vehicles are less polluting than gasoline powered vehicles, adoption is challenged by higher procurement prices. Existing discourse emphasizes EV battery costs as being principally responsible for this price differential and widespread adoption is routinely conditioned upon battery costs declining. We scrutinize such reasoning by sourcing data on EV attributes and market conditions between 2011 and 2023. Our findings are fourfold. First, EV prices are influenced principally by the number of amenities, additional features, and dealer-installed accessories sold as standard on an EV, and to a lesser extent, by EV horsepower. Second, EV range is negatively correlated with EV price implying that range anxiety concerns may be less consequential than existing discourse suggests. Third, battery capacity is positively correlated with EV price, due to more capacity being synonymous with the delivery of more horsepower. Collectively, this suggests that higher procurement prices for EVs reflects consumer preference for vehicles that are feature dense and more powerful. Fourth and finally, accommodating these preferences have produced vehicles with lower fuel economy, a shift that reduces envisioned lifecycle emissions benefits by at least 3.26 percent, subject to the battery pack chemistry leveraged and the carbon intensity of the electrical grid. These findings warrant attention as decarbonization efforts increasingly emphasize electrification as a pathway for complying with domestic and international climate agreements.","Fri, 1 Mar 2024 11:30:25 UTC (1,569 KB)"
"8","Assessing light pollution in vast areas: zenith sky brightness maps of Catalonia","Hector Linares, Eduard Masana Salvador J Ribas, Manuel García-Gil, Martin Aubé, Alejandro Sánchez de Miguel, Alexandre Simoneau","Instrumentation and Methods for Astrophysics (astro-ph.IM)","Zenith sky brightness maps in the V and B bands of the region of Catalonia are presented in this paper. For creating them we have used the light pollution numerical model Illumina v2. The maps have a sampling of 5x5 km for the whole region with an improved resolution of 1x1 km for one of the provinces within Catalonia, Tarragona. Before creating the final maps, the methodology was tested successfully by comparing the computed values to measurements in nineteen different locations spread out throughout the territory. The resulting maps have been compared to the zenith sky brightness world atlas and also to Sky Quality Meter (SQM) dynamic measurements. When comparing to measurements we found small differences mainly due to mismatching in the location of the points studied, and also due to differences in the natural sky brightness and atmospheric content. In the comparison to the world atlas some differences were expected as we are taking into account the blocking effect of topography and obstacles, and also due to a more precise light sources characterization. The results of this work confirm the conclusion found in other studies that the minimum sampling for studying sky brightness fine details is of 1x1 km. However, a sampling of 5x5 km is interesting when studying general trends, mainly for vast areas, due to the reduction of the time required to create the maps.","Thu, 29 Feb 2024 20:30:46 UTC (20,808 KB)"
"9","Abundances of Neutron-Capture Elements in 62 Stars in the Globular Cluster Messier 15","Jonathan Cabrera Garcia, Charli M. Sakari, Ian U. Roederer, Donavon W. Evans, Pedro Silva, Mario Mateo, Ying-Yi Song, Anthony Kremin, John I. Bailey III, Matthew G. Walker","Solar and Stellar Astrophysics (astro-ph.SR)","M15 is a globular cluster with a known spread in neutron-capture elements. This paper presents abundances of neutron-capture elements for 62 stars in M15. Spectra were obtained with the Michigan/Magellan Fiber System (M2FS) spectrograph, covering a wavelength range from ~4430-4630 A. Spectral lines from Fe I, Fe II, Sr I, Zr II, Ba II, La II, Ce II, Nd II, Sm II, Eu II, and Dy II, were measured, enabling classifications and neutron-capture abundance patterns for the stars. Of the 62 targets, 44 are found to be highly Eu-enhanced r-II stars, another 17 are moderately Eu-enhanced r-I stars, and one star is found to have an s-process signature. The neutron-capture patterns indicate that the majority of the stars are consistent with enrichment by the r-process. The 62 target stars are found to show significant star-to-star spreads in Sr, Zr, Ba, La, Ce, Nd, Sm, Eu, and Dy, but no significant spread in Fe. The neutron-capture abundances are further found to have slight correlations with sodium abundances from the literature, unlike what has been previously found; follow-up studies are needed to verify this result. The findings in this paper suggest that the Eu-enhanced stars in M15 were enhanced by the same process, that the nucleosynthetic source of this Eu pollution was the r-process, and that the r-process source occurred as the first generation of cluster stars was forming.","Thu, 29 Feb 2024 19:00:10 UTC (361 KB)"
"10","Airport take-off and landing optimization through genetic algorithms","Fernando Guedan Pecker, Cristian Ramirez Atencia","Neural and Evolutionary Computing (cs.NE)","This research addresses the crucial issue of pollution from aircraft operations, focusing on optimizing both gate allocation and runway scheduling simultaneously, a novel approach not previously explored. The study presents an innovative genetic algorithm-based method for minimizing pollution from fuel combustion during aircraft take-off and landing at airports. This algorithm uniquely integrates the optimization of both landing gates and take-off/landing runways, considering the correlation between engine operation time and pollutant levels. The approach employs advanced constraint handling techniques to manage the intricate time and resource limitations inherent in airport operations. Additionally, the study conducts a thorough sensitivity analysis of the model, with a particular emphasis on the mutation factor and the type of penalty function, to fine-tune the optimization process. This dual-focus optimization strategy represents a significant advancement in reducing environmental impact in the aviation sector, establishing a new standard for comprehensive and efficient airport operation management.","Thu, 29 Feb 2024 14:53:55 UTC (6,764 KB)"
