"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"planktonrules","16 January 2015","I usually don't watch action films. They just aren't my sort of thing. However, my daughter insisted that I watch ""Pacific Rim"" and I was feeling absolutely horrible when I watched the film, as I had just gone through some painful surgery that morning. So, to take my mind off my aches, I gave it a try. And, thankfully, it turned out to be exactly the sort of tonic I needed--entertaining and crazy fun. While I didn't see it in the theater (the best way to see this type of movie), I did see it on a very large screen at home and watching it on a small screen is practically a waste of time. For once, I loved that a film has eye- popping visuals, explosions and action--and it manages to deliver an entertaining experience without leaving you feeling dumb for having enjoyed it--a problem too often associated with movie of this style. Well worth your time.","
            8/10
            "
"Darkside-Reviewer","22 July 2020","Pacific Rim really surprised me when it was first released in 2013. My initial thought was that this was just gunna end up being another movie about Colossal sized monsters similar to Cloverfield or Godzilla only with a Hollywood big budget and while it shares some similarities to Godzilla it does stand out on it's own with it's unique monsters and awsome robots plus with the movie being directed by Guillermo del Toro it has a unique style to it that only Guillermo del Toro can bring to a movie.Pacific Rims story isn't a particularly complicated one but it's certainly got some interesting ideas. When the world is invaded by Colossal sized creatures known as Kaijus mankind bands together creating a defence against the Kaiju in the form of Colossal sized battle robots known as Jaegers each unique in style and armed to the teeth which are each piloted by two pilots who control the robot via neural interfaces the only problem is both pilots must be drift compatible meaning they have to be to link minds and create a stable neural link to be able to control the Jaeger during this both pilots share each other's memorys, feelings and thoughts. The Kaiju begin appearing faster than Jaegers can be assembled so with time running out before there are more Kaijus than Jaegers to fight them the last few remaining pilots prepare for a final assault on the portal the Kaijus are coming from.The movie is like a mix between Godzilla and Power Rangers only a lot more adult and with much better effects. The Jaeger robots look amazing especially when fighting against the Kaiju monsters. There's plenty of cool action scenes which show the Kaiju monsters being shot, blown up, punched by robot rocket fists and even decapitations.The characters are likable and interesting my favourite characters personally are the two mad scientists who dissect and study the Kaijus while they are meant to be the kind of comic relief of the movie they are very funny and likable both arguing over scientific theories and trying to prove each over wrong.I highly recommend watching this movie if your a fan of movies that feature Colossal sized monsters crashing through city's while fighting with Colosal sized robots with swords, guns and rocket fists. This isn't a movie intended for kids in case your wondering this movie is definitely for a more mature audience even though the synopsis for the movie sounds like it was made for kids who watch Transformers cartoons.","
            8/10
            "
"alr126","27 November 2013","While watching this movie, I was reminded of a couple of films and TV shows from my youth, first was any of the original Godzilla films, the second, a TV show Ultra Man. The FX were way better here, but, it just made me think of them. I found the film entertaining, no Oscar winner, but, it was good. Some parts kept you on the edge of your seat, of course, rooting for the good guys.I also had to think that mankind would have or could have thought of a better defense/offense weapon than giant robots. To bring a fight into the city would have cost trillions of dollars, perhaps Quadrillions of dollars. Okay, I'm reading way to much into it. Watch the movie, you will enjoy it.","
            7/10
            "
"damianphelps","28 February 2021","Sometimes when I sit down and watch a movie I just want to be swept away and be dazzled with both sight and sound. The movies don't have to be dramatically perfect just capable of blowing all my sensors.Battleship and Pacific Rim are 2 of those movies.Pacific Rim takes a cool concept for a story, Monsters vs Machines and entwines a human element (the pilots) to result in a really fun extravaganza. The movie is not deep but has enough story to piece together the fighting sequences.Sit down, hit the lights, pump the volume, disengage brain and have a blast :)","
            9/10
            "
"Leofwine_draca","29 July 2014","PACIFIC RIM is Guillermo del Toro's tribute to the kaiju and Japanese sci-fi movies of his youth; you know, the ones involving giant monsters trashing cities and huge robots sent out to protect mankind. I had an inkling he wanted to make this movie after the giant plant creature in HELLBOY 2; well, now he has.And this is a lot of fun, a decent popcorn flick for a change and a film that's well made enough to erase memories of the disappointing TRANSFORMERS movies. It's a great Hollywood tribute to Japanese cinema, filled with all of the wonderful effects and super-sized action that you'd hope for. Del Toro is one of those directors who hasn't made a bad film yet; you can always rely on him for entertainment.Sure, the stuff with the human characters isn't as interesting as the giant stuff. But at least we get plenty of British actors in the cast (Burn Gorman, Idris Elba, Rob Kazinsky, Charlie Hunnam) which keeps it fresh and interesting. The CGI effects are excellent, as you'd expect, and while the storyline is very predictable, that's not the point. The point is to deliver huge bouts of destructive action, and that's what del Toro does. And it's a lot of fun.","
            7/10
            "
"drummer303","10 November 2013","To all the reviewers who gave this movie low ratings, I can only say this; What did you expect to see? Did you watch this expecting to see something deep and meaningful? The trailers and posters make it perfectly clear what kind of movie this is going to be. Heavy CGI, regular Hollywood 'save the planet' storyline re-run. Young eye candy super hot actors. You know the score. If you want to see something clever, this is not it and it was never going to be.Question is, does it do the job it sets out to do? I think it does rather well, yeah OK, it's cheesy as hell and you know how it's going to end before it starts, ( the world will be saved right? ) considering it's being told in retrospect the clue to the inevitable ending is there in the first 10 seconds of the movie.I liked the mind meld idea of the 2 pilots, and I thought they covered most bases explaining the technology behind the enormous robots (Jaegers) pretty well. It does have a few technical plot holes here and there, but the film does have a 'let's just get on with it' kind of feel. The alien creatures (Kaiju) are great and the robot v monster battles are superb. Towards the end the pace picks right up and the story starts to fall apart a bit, but by that point who cares? In general Pacific Rim is a fast paced, slick looking piece of techno-action that most Sci-Fi fans will enjoy. It's big, loud, dumb and very pretty, largely due to Guillermo Del Toro being at the helm.It's Sunday afternoon on the sofa material I think. I know these kind of films are 'designed' for the big screen, but honestly I prefer them at home most of the time. Unless of course, you like feeling as though you are sitting the middle of a continuous explosion for and hour and half.","
            7/10
            "
"thekarmicnomad","24 November 2013","This film starts of with a monologue that explains in twenty seconds how big monsters start appearing from the sea and destroying everything. The only defence against them is to kick their heads in with massive robots. Cool! Starting so quickly out the blocks I expected this to be a fast paced action movie.It really isn't. About every film element ever used, runs its course before the inevitable big battle. You get a fall from grace, a rivalry, a training period, a love story, forgiveness, reconciliation, etc. etc.The battle sequences are epic, the monsters and robots are amazing, Kids especially will love them, and the action goes on and on.The dialogue is cheesier and hammier than a 60 foot pizza monsters, and coupled with the extended scope of this film can make watching it gruelling if you are not instantly gripped.This will keep any kids gripped for hours (nearly three of them) but if sci-fi isn't your thing get comfy and bring a pillow.","
            7/10
            "
"JPfanatic93","23 September 2013","Guillermo Del Toro's epic homage to the Japanese 'Kaiĵu' movies, produced on a bigger budget than all such giant monster movies of the last fifty years combined. Del Toro obviously has a great love and respect for the genre, resulting in a very catchy action flick, undoubtedly the best American counterpart to its Japanese predecessors. One might almost say Hollywood has redeemed itself for the 1998 version of Godzilla, but such a statement had better be held back for another year, until the next American reboot of Godzilla hits theatres in 2014. In the meantime, Pacific Rim works well as an appetizer to the big G's resurrection. An extra-dimensional rift opens on the bottom of the Pacific and huge beasts come pouring out, wreaking havoc on mankind as they lay waste to cities and obliterate our armed forces. Humanity quickly sets aside its internal differences and joins forces in creating big robots to fight the creatures on their own terms. Piloted by a pair of human Avatars, these so-called 'Jaëgers' effectively combat the beasts, but the life of a Jaëger pilot as Del Toro reveals is filled with personal loss. When the monsters emerge ever more rapidly from the Breach, as it is named, Jaëger command develops an intricate and dangerous plan to halt the Kaiĵu threat once and for all. Del Toro briefly explores the history of the first Kaiĵu assaults and the development of their robotic antagonists and afterwards spends more time getting us invested in the human characters than is usual for this type of film. It does make the movie feel like its dragging its feet for a while, until he unleashes the action the audience craves with a vengeance, resulting in over an hour of nigh endless monster bashing. Unfortunately he cannot help but inserting a few characters that are supposed to deliver some much needed comic relief to make sure we don't take it all too seriously, but sadly these characters – stereotypical geeky scientists as ever we've seen them – are so mind-boggingly annoying (Charlie Day particularly) they make you wish for a Kaiĵu to step on them to end their endless whining. Del Toro's talents are better suited in delving deeper into a world where Kaiĵus are not only a threat to world peace but also big business: toy companies produce action figures of them, creepy cults worship them and in Hong Kong, a 'Bone Town' is established, a black market for Kaiĵu products for shady purposes, similar to the disgusting existing South-East Asian trade in animal parts. Run by Ron Perlman (always a joy when paired with Del Toro), some of the funniest, wittiest and anatomically most unsettling scenes take place here. Though the dealings and the history of the Jaëgers are fleshed out to the fullest, their enormous alien adversaries, ever the most important ingredient in a Kaiĵu film, do remain somewhat underexposed by comparison. Unfortunately their motivations – they're really foot soldiers out to cause as much damage to mankind as possible, in order to pave the way for an invasion from their (smaller) intelligent overlords – remind us of the recent Shyamalan flop After Earth, a movie we'd rather forget entirely. Usually, Kaiĵu are more antiheroes than full-out villains, but Del Toro opts to keep them a simple threat to be wiped out instead of imbuing them with a more sympathetic character like their forebears Gojira, Gorgo and Rodan, who were always the victim of human (nuclear) folly, transforming them into avenging gods to remind us of our place in the world. The movie is dedicated to Ray Harryhausen and Ishiro Honda, two people who only too well understood the need to layer their creatures and make them charm you so you feel more for them, but in this instance, Del Toro decided not to go with such wisdom. As a result, Pacific Rim at best is a highly likable action flick, but not necessarily an apt lesson for western audiences into the true nature of the Kaiĵu genre. Then again, there's only so much you can do with the notion of giant robots bashing giant monsters. Let's say Guillermo gets as much out of that premise as we could hope for.","
            7/10
            "
"bob the moo","3 November 2013","Part of the reason I have started completely sitting out the summer blockbuster season is that I just got fed up going to crowded noisy cinemas to be disappointed by films that promised much but deliver just basic effects and little else. With Pacific Rim though, it is hard to feel this way because it is a film that has never pretended to be anything other than a Japanese inspired monster movie where big robots hit big aliens in a way that pretty much never makes much sense when you think about it. The plot is explained very quickly at the start of the film and we then jump into the future where the war we just learned about is reaching a peak. From here we have some doubt, some lessons to learn, barriers to overcome but really what we have are big special effects punching each other. And it works.It is easy to wring one's hands and say that blockbusters are the death of film, but all things have a place as long as they are done well and this is at least an honest and fun film. I say honest because it has no pretension to it – it is plain and simple a monster movie with a very big budget behind it. The effects are good, with good monster design and generally a sense of fun and energy to the deliver. Of course it is just effects hitting other effects but it works for what it is and at least does this well – unlike other films that would aspire to more but yet can't even do this with any skill. The action sequences are large and fun throughout and the soapy drama doesn't get in the way at all. The film is loaded with references which I mostly got – the voice of GLaDOS being my favorite one.The cast are not particularly famous but it doesn't matter since the effects are the stars here. That said I thought they did a good job, in particular I enjoyed seeing Elba, Day, Collins, Kikuchi and others in their various roles. Del Toro continues his love of all things geeky with this film and in terms of direction it looks good, with plenty going on but never not being clear and engaging.It isn't a brilliant film by any means but it is a straightforward one that is honest with the viewer. Robots punching monsters – that is all that is promised and on that it very much delivers. If this sounds like your thing then this will hit the spot no problem.","
            9/10
            "
"kapurkimaya","30 April 2020","This is one of my all time favourite movies.
This is a must watch for all age groups.
But only this first Pacific Rim, not the second one.","
            2/10
            "
