"Category","Brand_Description","Price","Review_Count","Rating"
"Projectors"," HAPPRUN Projector, Native 1080P Bluetooth Projector with 100''Screen, 9500L Portable Outdoor Movie Projector Compatible with Smartphone, HDMI,USB,AV,Fire Stick, PS5  4.4 out of 5 stars 5,122  8K+ bought in past month$99.99$99.99 List: $119.99$119.99Join Prime to buy this item at $79.99 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$72.95(19 used & new offers)","99","5,122","4.4 out of 5 stars"
"Projectors"," Mini Projector for iPhone, ELEPHAS 2023 Upgraded 1080P HD Projector, 8000L Portable Projector with Tripod and Carry Bag, Movie Projector Compatible with Android/iOS/Windows/TV Stick/HDMI/USB  4.3 out of 5 stars 5,114  5K+ bought in past month$99.99$99.99 List: $159.98$159.9830% coupon applied at checkoutSave 30%  with coupon  FREE delivery Mon, Jan 29 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Climate neutral by ClimatePartnerMore Buying Choices$64.16(15 used & new offers)","99","5,114","4.3 out of 5 stars"
"Projectors"," Projector, Native 1080P Full HD Bluetooth Projector with Speaker, 9500 Lumens Outdoor Portable Movie Mini Projector Compatible with Laptop, Smartphone, TV Stick, Xbox, PS5  4.3 out of 5 stars 8,305  5K+ bought in past monthLimited time deal   $64.79$64.79 Typical: $71.99$71.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$64.14(12 used & new offers)","64","8,305","4.3 out of 5 stars"
"Projectors"," TMY Mini Projector, Upgraded 9500 Lumens Bluetooth Projector with 100"" Screen, 1080P Full HD Portable Projector, Movie Projector Compatible with TV Stick Smartphone/HDMI/USB/AV, indoor & outdoor use  4.3 out of 5 stars 14,819  4K+ bought in past monthLimited time deal   $65.57$65.57 List: $99.99$99.9920% coupon applied at checkoutSave 20%  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$62.95(10 used & new offers)","65","14,819","4.3 out of 5 stars"
"Projectors"," Mini Projector, VISSPL Full HD 1080P Video Projector, Portable Outdoor Projector with Tripod, Kids Gift, Home Theater Movie Phone Projector Compatible with Android/iOS/Windows/TV Stick/HDMI/USB  4.5 out of 5 stars 700  3K+ bought in past monthLimited time deal   $49.99$49.99 List: $99.99$99.99 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 ","49","700","4.5 out of 5 stars"
"Projectors"," AuKing Projector, 2024 Upgraded Mini Projector, Full HD 1080P Home Theater Video Projector, Compatible with HDMI/USB/VGA/AV/Smartphone/TV Box/Laptop  4.3 out of 5 stars 12,788  2K+ bought in past month$89.99$89.99 List: $99.99$99.9920% coupon applied at checkoutSave 20%  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$53.01(8 used & new offers)","89","12,788","4.3 out of 5 stars"
"Projectors"," GooDee Projector 4K With WiFi And Bluetooth Supported, FHD 1080P Mini Projector For Outdoor Moives, 5G Video Projector For Home Theater Dolby Audio Zoom Portable Projector TV Stick PPT (YG600 Plus)  4.4 out of 5 stars 1,290  1K+ bought in past monthLimited time deal   $169.98$169.98 List: $339.99$339.99$30.00 coupon applied at checkoutSave $30.00  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Climate neutral by ClimatePartnerMore Buying Choices$163.18(8 used & new offers)Price may vary by color","169","1,290","4.4 out of 5 stars"
"Projectors"," NexiGo PJ40 Projector with WiFi and Bluetooth, Native 1080P, 4K Supported, Projector for Outdoor Movies, 300 Inch, Zoomable, 20W Speakers, Home Theater, Compatible w/TV Stick, iOS, Android (Black)  4.3 out of 5 stars 816  1K+ bought in past month$319.99$319.99 List: $349.99$349.99$30.00 coupon applied at checkoutSave $30.00  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$219.99(7 used & new offers)","319","816","4.3 out of 5 stars"
"Projectors"," Groview Projector, 1080P Bluetooth Mini Projector with 100” Projector Screen, 9500 LUX Portable Outdoor Movie Projector for Phone, Compatible with VGA/HDMI/USB/SD/Laptop/Fire Stick/PS5  4.3 out of 5 stars 1,922  2K+ bought in past monthLimited time deal   $59.98$59.98 Typical: $89.99$89.99 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$56.61(7 used & new offers)","59","1,922","4.3 out of 5 stars"
"Projectors"," Mini Projector, VOPLLS 1080P Full HD Supported Video Projector, Portable Outdoor Home Theater Movie Projector, 50% Zoom, Compatible with HDMI, USB, AV, Smartphone/Tablet/Laptop/PC/TV Box  4.3 out of 5 stars 1,747  2K+ bought in past monthLimited time deal   $49.99$49.99 List: $89.99$89.99 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$47.99(9 used & new offers)","49","1,747","4.3 out of 5 stars"
