"","Brand_Description","Price","Review_Count","Rating"
"1"," Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black  4.6 out of 5 stars 49,693  10K+ bought in past month$49.95$49.95FREE delivery Jan 24 - 25 More Buying Choices$44.95(13 used & new offers)","49.","49,693","4.6 out of 5 stars"
"2"," SonyWH-1000XM5 The Best Wireless Noise Canceling Headphones with Auto Noise Canceling Optimizer, Crystal Clear Hands-Free Calling, and Alexa Voice Control, Black  4.5 out of 5 stars 11,886  6K+ bought in past month$398.00$398.00 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more More Buying Choices$211.93(77 used & new offers)","398.","11,886","4.5 out of 5 stars"
"3"," SoundcoreAnker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office  4.5 out of 5 stars 72,785  10K+ bought in past month$59.99$59.9920% coupon applied at checkoutSave 20%  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) TCO CertifiedMore Buying Choices$59.98(4 used & new offers)Price may vary by color","59.","72,785","4.5 out of 5 stars"
"4"," Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small  4.3 out of 5 stars 1,386  10K+ bought in past month$99.95$99.95 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$79.12(8 used & new offers)","99.","1,386","4.3 out of 5 stars"
"5"," HT2 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel  4.7 out of 5 stars 1,622  10K+ bought in past month$49.99$49.99 List: $79.99$79.99$10.00 coupon applied at checkoutSave $10.00  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certifications (2) Recycled Claim Standard Blended Global Recycled StandardMore Buying Choices$42.49(19 used & new offers)","49.","1,622","4.7 out of 5 stars"
"6"," +1bmaniWireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black  4.4 out of 5 stars 40,963  10K+ bought in past month$39.99$39.99 List: $58.99$58.9940% coupon applied at checkoutSave 40%  with coupon  FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Climate neutral by ClimatePartnerMore Buying Choices$36.55(7 used & new offers)+  ","39.","40,963","4.4 out of 5 stars"
"7"," BoseNEW QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up To 24 Hours of Battery Life, Black  4.5 out of 5 stars 888  4K+ bought in past month$349.00$349.00 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$319.99(8 used & new offers)","349.","888","4.5 out of 5 stars"
"8"," SonyWH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4  4.6 out of 5 stars 54,316  5K+ bought in past month$348.00$348.00FREE delivery Jan 24 - 25 Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more More Buying Choices$162.24(49 used & new offers)","348.","54,316","4.6 out of 5 stars"
"9"," NEW Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  4.0 out of 5 stars 1,291  4K+ bought in past month$299.00$299.00FREE delivery Thu, Jan 25 Only 2 left in stock - order soon.More Buying Choices$239.00(14 used & new offers)Also available in White Smoke","299.","1,291","4.0 out of 5 stars"
"10"," Bluetooth Headphones Wireless Earbuds 80hrs Playtime Wireless Charging Case Digital Display Sports Ear buds with Earhook Premium Deep Bass IPX7 Waterproof Over-Ear Earphones for TV Phone Laptop Black  4.5 out of 5 stars 9,804  10K+ bought in past monthLimited time deal   $25.99$25.99 List: $58.99$58.99 FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Climate neutral by ClimatePartnerMore Buying Choices$25.73(3 used & new offers)+  ","25.","9,804","4.5 out of 5 stars"
